DATAFLOW,LAST UPDATE,freq,accident,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,PL,2022,12,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,PL,2023,3,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,PL,2024,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2006,151,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2007,65,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2008,30,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2009,51,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2010,32,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2011,34,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2012,80,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2013,81,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2014,41,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2015,75,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2016,53,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,RO,2017,56,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,SK,2010,16,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,SK,2011,9,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,SK,2012,5,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,SK,2013,9,,
