DATAFLOW,LAST UPDATE,freq,unit,tra_mode,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,AT,2021,2.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,AT,2022,1.7,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,AT,2023,1.7,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2005,13.5,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2006,13.6,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2007,13.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2008,13.5,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2009,12.2,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2010,14.6,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2011,14.8,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2012,16.4,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2013,15.9,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2014,15.9,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2015,15.2,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2016,14.7,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2017,15.6,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2018,11.9,be,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2019,11.3,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2020,11.0,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2021,11.5,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2022,11.2,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BE,2023,10.7,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2005,30.0,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2006,29.2,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2007,30.8,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2008,33.2,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2009,31.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2010,33.6,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2011,24.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2012,30.5,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2013,27.5,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2014,26.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2015,27.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2016,27.3,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2017,24.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2018,24.5,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2019,31.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2020,28.8,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2021,24.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2022,16.6,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,BG,2023,17.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2005,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2006,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2007,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2008,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2009,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2010,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2011,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2012,0.2,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2013,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2014,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2015,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2016,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2017,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2018,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2019,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2020,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2021,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2022,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CH,2023,0.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2005,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2006,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2007,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2008,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2009,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2010,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2011,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2012,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2013,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2014,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2015,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2016,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2017,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2018,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2019,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2020,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2021,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2022,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CY,2023,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2005,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2006,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2007,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2008,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2009,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2010,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2011,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2012,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2013,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2014,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2015,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2016,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2017,0.0,n,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2018,0.0,n,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2019,0.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2020,0.0,n,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2021,0.0,n,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2022,0.0,n,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,CZ,2023,0.0,n,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2005,12.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2006,11.3,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2007,10.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2008,10.7,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2009,10.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2010,10.8,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2011,9.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2012,10.1,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2013,10.2,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2014,9.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2015,9.2,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2016,8.5,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2017,8.6,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2018,7.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2019,7.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2020,7.5,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2021,7.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2022,6.8,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DE,2023,6.6,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2005,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2006,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2007,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2008,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2009,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2010,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2011,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2012,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2013,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2014,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2015,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2016,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2017,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2018,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2019,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2020,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2021,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2022,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,DK,2023,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2005,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2006,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2007,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2008,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2009,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2010,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2011,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2012,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2013,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2014,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2015,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2016,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2017,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2018,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2019,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2020,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2021,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2022,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EE,2023,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2005,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2006,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2007,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2008,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2009,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2010,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2011,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2012,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2013,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2014,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2015,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2016,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2017,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2018,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2019,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2020,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2021,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2022,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EL,2023,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2005,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2006,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2007,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2008,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2009,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2010,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2011,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2012,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2013,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2014,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2015,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2016,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2017,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2018,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2019,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2020,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2021,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2022,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,ES,2023,,m,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2005,7.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2006,6.9,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2007,7.0,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2008,7.0,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2009,6.7,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2010,7.4,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2011,6.8,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2012,7.4,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2013,7.4,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2014,7.2,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2015,6.9,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2016,6.7,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2017,6.4,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2018,5.8,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2019,6.0,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2020,5.8,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2021,5.6,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2022,5.1,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU27_2020,2023,5.0,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2005,6.5,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2006,6.3,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2007,6.5,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2008,6.5,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2009,6.2,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2010,6.9,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2011,6.3,,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2012,6.8,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2013,6.8,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2014,6.7,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2015,6.4,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2016,6.2,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2017,6.0,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2018,5.3,e,
ESTAT:TRAN_HV_FRMOD(1.0),16/04/25 11:00:00,A,PC,IWW,EU28,2019,5.6,e,
