DATAFLOW,LAST UPDATE,freq,unit,vessel,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU25,2014,12992,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU25,2015,12444,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU25,2016,12079,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU25,2017,12319,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU25,2018,10275,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU25,2019,10624,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2007,19659,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2008,19575,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2009,14012,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2010,18054,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2011,14928,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2012,18244,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2013,19141,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2014,18190,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2015,18520,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2016,17325,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,EU27_2007,2017,17320,,
